Date,Value
2024-12-31,4.162
2023-12-31,4.153
2022-12-31,4.144
2021-12-31,7.6
2020-12-31,12.0
2019-12-31,3.8
2018-12-31,4.0
2017-12-31,4.275
2016-12-31,4.8
2015-12-31,5.325
2014-12-31,5.9
2013-12-31,6.25
2012-12-31,6.9
2011-12-31,7.05
2010-12-31,8.25
2009-12-31,9.425
2008-12-31,7.65
2007-12-31,9.15
2006-12-31,10.45
2005-12-31,11.2
2004-12-31,12.9
2003-12-31,13.4
2002-12-31,12.875
2001-12-31,11.625
2000-12-31,10.9
1999-12-31,11.075
1998-12-31,10.675
1997-12-31,9.525
1996-12-31,8.325
1995-12-31,6.863
1994-12-31,7.828
1993-12-31,10.015
1992-12-31,11.155
1991-12-31,10.585
1990-12-31,9.567
1989-12-31,8.881
1988-12-31,6.428
1987-12-31,6.057
1986-12-31,7.078
1985-12-31,6.693
1984-12-31,5.893
1983-12-31,4.562
1982-12-31,5.048
1981-12-31,5.115
1980-12-31,4.78
